area;perimeter;compactness;length;width;asymmetry-coeff;groove-length;variety
1149;1322;8263;5304;2695;5388;531;3
1254;1367;8425;5451;2879;3082;5491;3
1202;1333;8503;535;281;4271;5308;3
1205;1341;8416;5267;2847;4988;5046;3
1255;1357;8558;5333;2968;4419;5176;3
1114;1279;8558;5011;2794;6388;5049;3
121;1315;8793;5105;2941;2201;5056;3
1244;1359;8462;5319;2897;4924;527;3
1215;1345;8443;5417;2837;3638;5338;3
1135;1312;8291;5176;2668;4337;5132;3
1124;13;8359;509;2715;3521;5088;3
1102;13;8189;5325;2701;6735;5163;3
1155;131;8455;5167;2845;6715;4956;3
1127;1297;8419;5088;2763;4309;5;3
114;1308;8375;5136;2763;5588;5089;3
1083;1296;8099;5278;2641;5182;5185;3
108;1257;859;4981;2821;4773;5063;3
1126;1301;8355;5186;271;5335;5092;3
1074;1273;8329;5145;2642;4702;4963;3
1148;1305;8473;518;2758;5876;5002;3
1221;1347;8453;5357;2893;1661;5178;3
1141;1295;856;509;2775;4957;4825;3
1246;1341;8706;5236;3017;4987;5147;3
1219;1336;8579;524;2909;4857;5158;3
1165;1307;8575;5108;285;5209;5135;3
1289;1377;8541;5495;3026;6185;5316;3
1156;1331;8198;5363;2683;4062;5182;3
1181;1345;8198;5413;2716;4898;5352;3
1091;128;8372;5088;2675;4179;4956;3
1123;1282;8594;5089;2821;7524;4957;3
1059;1241;8648;4899;2787;4975;4794;3
1093;128;839;5046;2717;5398;5045;3
1127;1286;8563;5091;2804;3985;5001;3
1187;1302;8795;5132;2953;3597;5132;3
1082;1283;8256;518;263;4853;5089;3
1211;1327;8639;5236;2975;4132;5012;3
128;1347;886;516;3126;4873;4914;3
1279;1353;8786;5224;3054;5483;4958;3
1337;1378;8849;532;3128;467;5091;3
1262;1367;8481;541;2911;3306;5231;3
1276;1338;8964;5073;3155;2828;483;3
1238;1344;8609;5219;2989;5472;5045;3
1267;1332;8977;4984;3135;23;4745;3
1118;1272;868;5009;281;4051;4828;3
127;1341;8874;5183;3091;8456;5;3
1237;1347;8567;5204;296;3919;5001;3
1219;132;8783;5137;2981;3631;487;3
1123;1288;8511;514;2795;4325;5003;3
132;1366;8883;5236;3232;8315;5056;3
1184;1321;8521;5175;2836;3598;5044;3
123;1334;8684;5243;2974;5637;5063;3
